id,age,gender,education,marital_status,skills,experience_years,location,target_job,barriers,employment_status,current_salary,location_normalized,region,salary_anomaly,salary_zero_retired,quality_score,quality_grade
worker_0246,55,male,primary,widowed,sửa chữa|tay nghề|thợ|salary_range,30,Cần Thơ,Thợ lành nghề,location|other|health,employed,3322516,Cần Thơ,mekong,False,False,100,A
worker_0247,57,male,college,divorced,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,30,Buôn Ma Thuột,Nhân viên bán hàng,other|family|health,employed,9811276,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0248,55,male,primary,married,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Nam Định,Nhân viên kho vận,,self-employed,7972346,Nam Định,north,False,False,100,A
worker_0249,58,other,college,widowed,bằng lái|lái xe|vận chuyển|salary_range,30,Hải Dương,Lái xe,,self-employed,12291347,Hải Dương,north,False,False,100,A
worker_0250,55,other,university,single,an ninh|bảo vệ|tuần tra|salary_range,29,Vinhy,Bảo vệ,location|other|family,employed,12486115,Vinh,north,False,False,100,A
worker_0251,61,male,primary,single,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Biên Hòa,Nông dân / Nông nghiệp,health|family,unemployed,0,Biên Hòa,south_east,False,False,100,A
worker_0252,48,other,university,single,an ninh|bảo vệ|tuần tra|salary_range,22,Cần Thơ,Bảo vệ,location|techGap,self-employed,7434176,Cần Thơ,mekong,False,False,100,A
worker_0253,51,male,primary,widowed,bằng lái|lái xe|vận chuyển|salary_range,24,Nha Trang,Lái xe,other|health,unemployed,0,Nha Trang,central,False,False,100,A
worker_0254,64,male,university,single,chào hỏi|order|phục vụ|salary_range,30,Cần Thơ,Nhân viên phục vụ,,unemployed,0,Cần Thơ,mekong,False,False,100,A
worker_0255,37,other,upper_secondary,divorced,hành chính|kế toán|văn phòng|salary_range,13,Bắc Ninh,Kế toán / Hành chính,location|family,unemployed,0,Bắc Ninh,north,False,False,100,A
worker_0256,51,male,primary,single,dọn dẹp|giặt là|nấu ăn|salary_range,24,Buôn Ma Thuột,Giúp việc / Dịch vụ,,retired,8158492,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0257,54,female,upper_secondary,divorced,chăn nuôi|nông nghiệp|trồng trọt|salary_range,26,Thanh Hóa,Nông dân / Nông nghiệp,,self-employed,4971381,Thanh Hóa,north,False,False,100,A
worker_0258,60,male,primary,divorced,bằng lái|lái xe|vận chuyển|salary_range,30,Biên Hòa,Lái xe,techGap,unemployed,0,Biên Hòa,south_east,False,False,100,A
worker_0259,55,male,primary,widowed,dọn dẹp|giặt là|nấu ăn|salary_range,30,Nha Trang,Giúp việc / Dịch vụ,location|health|techGap,employed,3001070,Nha Trang,central,False,False,100,A
worker_0260,65,other,college,single,công trình|xây dựng|xây tô|salary_range,30,Buôn Ma Thuột,Lao động xây dựng,family|location,self-employed,7560076,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0261,41,other,upper_secondary,single,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,20,Cần Thơ,Nhân viên kho vận,other,self-employed,6932871,Cần Thơ,mekong,False,False,100,A
worker_0262,59,female,college,single,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,30,Vĩnh Phúc,Nhân viên bán hàng,health|location|family,unemployed,0,Vĩnh Phúc,north,False,False,100,A
worker_0263,59,other,college,married,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Huế,Nông dân / Nông nghiệp,other,employed,3042703,Huế,central,False,False,100,A
worker_0264,63,other,college,married,bằng lái|lái xe|vận chuyển|salary_range,30,Hải Phòng,Lái xe,health|techGap|family,employed,6195844,Hải Phòng,north,False,False,100,A
worker_0265,37,male,upper_secondary,divorced,chăn nuôi|nông nghiệp|trồng trọt|salary_range,15,Huế,Nông dân / Nông nghiệp,techGap|location,retired,3125244,Huế,central,False,False,100,A
worker_0266,39,female,university,widowed,lắp ráp|sản xuất|vận hành máy|salary_range,13,Bắc Ninh,Công nhân sản xuất,other|location,retired,13091009,Bắc Ninh,north,False,False,100,A
worker_0267,53,other,university,single,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,25,Bình Dương,Nhân viên bán hàng,other,unemployed,0,Bình Dương,south_east,False,False,100,A
worker_0268,50,male,upper_secondary,single,bằng lái|lái xe|vận chuyển|salary_range,20,Vũng Tàu,Lái xe,family|other,self-employed,11959108,Vũng Tàu,south_east,False,False,100,A
worker_0269,63,male,upper_secondary,divorced,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Buôn Ma Thuột,Nông dân / Nông nghiệp,other|health,employed,9172529,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0270,46,female,upper_secondary,divorced,an ninh|bảo vệ|tuần tra|salary_range,26,Nam Định,Bảo vệ,,self-employed,4605922,Nam Định,north,False,False,100,A
worker_0271,48,male,upper_secondary,married,chào hỏi|order|phục vụ|salary_range,20,Biên Hòa,Nhân viên phục vụ,location,unemployed,0,Biên Hòa,south_east,False,False,100,A
worker_0272,37,other,college,married,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,7,Qui Nhơn,Nhân viên bán hàng,,unemployed,0,Quy Nhơn,central,False,False,100,A
worker_0273,56,female,college,widowed,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Vinhy,Nông dân / Nông nghiệp,location|health,self-employed,14461096,Vinh,north,False,False,100,A
worker_0274,52,male,primary,single,sửa chữa|tay nghề|thợ|salary_range,22,Vinhy,Thợ lành nghề,,unemployed,0,Vinh,north,False,False,100,A
worker_0275,60,male,university,single,an ninh|bảo vệ|tuần tra|salary_range,30,Cần Thơ,Bảo vệ,other|location,unemployed,0,Cần Thơ,mekong,False,False,100,A
worker_0276,36,male,upper_secondary,married,sửa chữa|tay nghề|thợ|salary_range,16,Bắc Ninh,Thợ lành nghề,other|location,self-employed,7717528,Bắc Ninh,north,False,False,100,A
worker_0277,65,female,university,married,an ninh|bảo vệ|tuần tra|salary_range,30,TP. Hồ Chí Minh,Bảo vệ,,unemployed,0,Hồ Chí Minh,south_east,False,False,100,A
worker_0278,65,female,primary,married,dọn dẹp|giặt là|nấu ăn|salary_range,30,Vũng Tàu,Giúp việc / Dịch vụ,family|location,retired,11238978,Vũng Tàu,south_east,False,False,100,A
worker_0279,63,female,upper_secondary,divorced,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Nha Trang,Nông dân / Nông nghiệp,location|techGap,unemployed,0,Nha Trang,central,False,False,100,A
worker_0280,60,female,primary,divorced,bằng lái|lái xe|vận chuyển|salary_range,30,Hải Dương,Lái xe,location,self-employed,11843776,Hải Dương,north,False,False,100,A
worker_0281,47,male,primary,single,hành chính|kế toán|văn phòng|salary_range,22,Đà Lạt,Kế toán / Hành chính,techGap|health,retired,6635964,Đà Lạt,central_highlands,False,False,100,A
worker_0282,49,other,upper_secondary,widowed,an ninh|bảo vệ|tuần tra|salary_range,19,Thái Nguyên,Bảo vệ,techGap,self-employed,13733062,Thái Nguyên,north,False,False,100,A
worker_0283,41,female,primary,widowed,chăn nuôi|nông nghiệp|trồng trọt|salary_range,18,Hải Dương,Nông dân / Nông nghiệp,,unemployed,0,Hải Dương,north,False,False,100,A
worker_0284,37,female,university,divorced,dọn dẹp|giặt là|nấu ăn|salary_range,14,Hải Phòng,Giúp việc / Dịch vụ,,unemployed,0,Hải Phòng,north,False,False,100,A
worker_0285,50,female,college,single,chăn nuôi|nông nghiệp|trồng trọt|salary_range,29,Hà Nội,Nông dân / Nông nghiệp,techGap|location,retired,4086903,Hà Nội,north,False,False,100,A
worker_0286,44,male,college,divorced,barista|pha chế|đồ uống|salary_range,22,Thanh Hóa,Pha chế,health|location,unemployed,0,Thanh Hóa,north,False,False,100,A
worker_0287,49,female,primary,single,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,28,Vinhy,Nhân viên kho vận,,unemployed,0,Vinh,north,False,False,100,A
worker_0288,51,female,primary,married,hành chính|kế toán|văn phòng|salary_range,25,Nha Trang,Kế toán / Hành chính,location,employed,11664936,Nha Trang,central,False,False,100,A
worker_0289,37,female,upper_secondary,widowed,hành chính|kế toán|văn phòng|salary_range,13,Huế,Kế toán / Hành chính,,employed,4207376,Huế,central,False,False,100,A
worker_0290,38,female,upper_secondary,single,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,10,Đà Nẵng,Nhân viên bán hàng,family|techGap,employed,13112486,Đà Nẵng,central,False,False,100,A
worker_0291,53,other,upper_secondary,married,sửa chữa|tay nghề|thợ|salary_range,24,Vinhy,Thợ lành nghề,,retired,4745058,Vinh,north,False,False,100,A
worker_0292,55,other,college,married,an ninh|bảo vệ|tuần tra|salary_range,30,Thanh Hóa,Bảo vệ,,employed,10452726,Thanh Hóa,north,False,False,100,A
worker_0293,36,other,primary,married,sửa chữa|tay nghề|thợ|salary_range,11,Biên Hòa,Thợ lành nghề,health|other,unemployed,0,Biên Hòa,south_east,False,False,100,A
worker_0294,44,female,primary,widowed,hành chính|kế toán|văn phòng|salary_range,19,Cần Thơ,Kế toán / Hành chính,,unemployed,0,Cần Thơ,mekong,False,False,100,A
worker_0295,42,male,university,single,lắp ráp|sản xuất|vận hành máy|salary_range,12,Hà Nội,Công nhân sản xuất,techGap|family,self-employed,12221811,Hà Nội,north,False,False,100,A
worker_0296,46,other,college,married,dọn dẹp|giặt là|nấu ăn|salary_range,24,Biên Hòa,Giúp việc / Dịch vụ,health,unemployed,0,Biên Hòa,south_east,False,False,100,A
worker_0297,37,female,primary,single,hành chính|kế toán|văn phòng|salary_range,7,Thanh Hóa,Kế toán / Hành chính,health|location,unemployed,0,Thanh Hóa,north,False,False,100,A
worker_0298,36,other,primary,married,sửa chữa|tay nghề|thợ|salary_range,11,Đà Nẵng,Thợ lành nghề,location|other,self-employed,8760659,Đà Nẵng,central,False,False,100,A
worker_0299,44,male,college,divorced,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,24,Biên Hòa,Nhân viên bán hàng,health,unemployed,0,Biên Hòa,south_east,False,False,100,A
worker_0300,46,male,college,married,công trình|xây dựng|xây tô|salary_range,24,Hà Nội,Lao động xây dựng,techGap,unemployed,0,Hà Nội,north,False,False,100,A
worker_0301,41,female,university,widowed,barista|pha chế|đồ uống|salary_range,13,Nam Định,Pha chế,health|other,self-employed,14537085,Nam Định,north,False,False,100,A
worker_0302,35,female,primary,single,dọn dẹp|giặt là|nấu ăn|salary_range,13,Thái Nguyên,Giúp việc / Dịch vụ,,retired,12121935,Thái Nguyên,north,False,False,100,A
worker_0303,39,female,college,married,an ninh|bảo vệ|tuần tra|salary_range,15,Đà Lạt,Bảo vệ,family,retired,13732959,Đà Lạt,central_highlands,False,False,100,A
worker_0304,44,male,primary,single,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,16,Hải Dương,Nhân viên bán hàng,,employed,11859254,Hải Dương,north,False,False,100,A
worker_0305,56,other,college,widowed,barista|pha chế|đồ uống|salary_range,28,Thanh Hóa,Pha chế,techGap,employed,12187406,Thanh Hóa,north,False,False,100,A
worker_0306,52,other,upper_secondary,widowed,hành chính|kế toán|văn phòng|salary_range,30,Đà Lạt,Kế toán / Hành chính,,unemployed,0,Đà Lạt,central_highlands,False,False,100,A
worker_0307,44,male,primary,married,lắp ráp|sản xuất|vận hành máy|salary_range,15,Bắc Ninh,Công nhân sản xuất,family|other,employed,5432892,Bắc Ninh,north,False,False,100,A
worker_0308,48,male,primary,single,sửa chữa|tay nghề|thợ|salary_range,27,Biên Hòa,Thợ lành nghề,location|other|health,self-employed,11611023,Biên Hòa,south_east,False,False,100,A
worker_0309,52,other,college,widowed,hành chính|kế toán|văn phòng|salary_range,28,Đà Lạt,Kế toán / Hành chính,,unemployed,0,Đà Lạt,central_highlands,False,False,100,A
worker_0310,62,female,upper_secondary,widowed,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,30,Hải Dương,Nhân viên bán hàng,family|health,unemployed,0,Hải Dương,north,False,False,100,A
worker_0311,48,female,college,divorced,công trình|xây dựng|xây tô|salary_range,22,Bình Dương,Lao động xây dựng,other|location,self-employed,4069714,Bình Dương,south_east,False,False,100,A
worker_0312,41,other,university,widowed,barista|pha chế|đồ uống|salary_range,14,Nha Trang,Pha chế,other|health|location,employed,10152970,Nha Trang,central,False,False,100,A
worker_0313,59,male,primary,married,barista|pha chế|đồ uống|salary_range,30,Thanh Hóa,Pha chế,,employed,9923587,Thanh Hóa,north,False,False,100,A
worker_0314,59,other,college,divorced,công trình|xây dựng|xây tô|salary_range,30,Huế,Lao động xây dựng,location|family|other,retired,3291867,Huế,central,False,False,100,A
worker_0315,55,female,college,married,sửa chữa|tay nghề|thợ|salary_range,30,Hà Nội,Thợ lành nghề,location,self-employed,10310296,Hà Nội,north,False,False,100,A
worker_0316,43,male,university,single,lắp ráp|sản xuất|vận hành máy|salary_range,20,Đà Nẵng,Công nhân sản xuất,health|family|other,self-employed,11717633,Đà Nẵng,central,False,False,100,A
worker_0317,35,female,university,married,sửa chữa|tay nghề|thợ|salary_range,9,Buôn Ma Thuột,Thợ lành nghề,health|location,unemployed,0,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0318,56,other,college,widowed,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Nam Định,Nhân viên kho vận,family,self-employed,12570027,Nam Định,north,False,False,100,A
worker_0319,57,male,primary,married,barista|pha chế|đồ uống|salary_range,30,Hà Nội,Pha chế,other,unemployed,0,Hà Nội,north,False,False,100,A
worker_0320,60,female,upper_secondary,widowed,dọn dẹp|giặt là|nấu ăn|salary_range,30,Vũng Tàu,Giúp việc / Dịch vụ,techGap|other,unemployed,0,Vũng Tàu,south_east,False,False,100,A
worker_0321,45,male,university,married,chăn nuôi|nông nghiệp|trồng trọt|salary_range,23,Cần Thơ,Nông dân / Nông nghiệp,techGap,retired,9136094,Cần Thơ,mekong,False,False,100,A
worker_0322,50,other,primary,married,an ninh|bảo vệ|tuần tra|salary_range,21,Vũng Tàu,Bảo vệ,techGap,unemployed,0,Vũng Tàu,south_east,False,False,100,A
worker_0323,38,female,college,divorced,hành chính|kế toán|văn phòng|salary_range,12,Hải Dương,Kế toán / Hành chính,techGap|other,employed,8228327,Hải Dương,north,False,False,100,A
worker_0324,64,female,primary,single,an ninh|bảo vệ|tuần tra|salary_range,30,Hải Phòng,Bảo vệ,techGap,employed,14082708,Hải Phòng,north,False,False,100,A
worker_0325,39,male,university,widowed,an ninh|bảo vệ|tuần tra|salary_range,13,Bình Dương,Bảo vệ,,retired,11377427,Bình Dương,south_east,False,False,100,A
worker_0326,57,male,college,single,an ninh|bảo vệ|tuần tra|salary_range,27,Nha Trang,Bảo vệ,location|techGap,self-employed,12452971,Nha Trang,central,False,False,100,A
worker_0327,55,female,primary,married,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Huế,Nông dân / Nông nghiệp,family,employed,6244651,Huế,central,False,False,100,A
worker_0328,60,male,primary,widowed,dọn dẹp|giặt là|nấu ăn|salary_range,30,Bình Dương,Giúp việc / Dịch vụ,techGap|family,retired,14781635,Bình Dương,south_east,False,False,100,A
worker_0329,44,male,primary,single,bằng lái|lái xe|vận chuyển|salary_range,16,Biên Hòa,Lái xe,health,retired,5922379,Biên Hòa,south_east,False,False,100,A
worker_0330,44,other,upper_secondary,single,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,23,Hải Phòng,Nhân viên kho vận,location|health,employed,5971609,Hải Phòng,north,False,False,100,A
worker_0331,46,other,upper_secondary,single,chăn nuôi|nông nghiệp|trồng trọt|salary_range,18,Vĩnh Phúc,Nông dân / Nông nghiệp,health,self-employed,4394309,Vĩnh Phúc,north,False,False,100,A
worker_0332,60,female,primary,divorced,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Bình Dương,Nông dân / Nông nghiệp,health|techGap,retired,12878205,Bình Dương,south_east,False,False,100,A
worker_0333,65,other,university,single,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Đà Lạt,Nhân viên kho vận,other,self-employed,8499989,Đà Lạt,central_highlands,False,False,100,A
worker_0334,61,other,college,single,lắp ráp|sản xuất|vận hành máy|salary_range,30,Thanh Hóa,Công nhân sản xuất,,self-employed,12794584,Thanh Hóa,north,False,False,100,A
worker_0335,47,female,upper_secondary,married,công trình|xây dựng|xây tô|salary_range,23,TP. Hồ Chí Minh,Lao động xây dựng,family|techGap|location,self-employed,11823202,Hồ Chí Minh,south_east,False,False,100,A
worker_0336,46,other,upper_secondary,married,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,25,Qui Nhơn,Nhân viên bán hàng,health,unemployed,0,Quy Nhơn,central,False,False,100,A
worker_0337,55,female,upper_secondary,single,sửa chữa|tay nghề|thợ|salary_range,30,Hải Dương,Thợ lành nghề,location|health,unemployed,0,Hải Dương,north,False,False,100,A
worker_0338,60,male,primary,divorced,công trình|xây dựng|xây tô|salary_range,30,Huế,Lao động xây dựng,health|other,retired,14034194,Huế,central,False,False,100,A
worker_0339,55,female,college,divorced,công trình|xây dựng|xây tô|salary_range,30,Huế,Lao động xây dựng,health|family,employed,11208214,Huế,central,False,False,100,A
worker_0340,42,other,upper_secondary,single,bằng lái|lái xe|vận chuyển|salary_range,17,Vũng Tàu,Lái xe,,retired,14504468,Vũng Tàu,south_east,False,False,100,A
worker_0341,57,female,upper_secondary,single,hành chính|kế toán|văn phòng|salary_range,30,Qui Nhơn,Kế toán / Hành chính,location|family,retired,3731449,Quy Nhơn,central,False,False,100,A
worker_0342,61,other,primary,married,hành chính|kế toán|văn phòng|salary_range,30,Đà Nẵng,Kế toán / Hành chính,other,retired,5537576,Đà Nẵng,central,False,False,100,A
worker_0343,48,male,university,widowed,hành chính|kế toán|văn phòng|salary_range,23,Buôn Ma Thuột,Kế toán / Hành chính,techGap|location|other,unemployed,0,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0344,44,other,upper_secondary,divorced,dọn dẹp|giặt là|nấu ăn|salary_range,23,Cần Thơ,Giúp việc / Dịch vụ,,retired,8067729,Cần Thơ,mekong,False,False,100,A
worker_0345,49,female,upper_secondary,single,bằng lái|lái xe|vận chuyển|salary_range,19,TP. Hồ Chí Minh,Lái xe,techGap|location,unemployed,0,Hồ Chí Minh,south_east,False,False,100,A
worker_0346,49,female,upper_secondary,married,công trình|xây dựng|xây tô|salary_range,23,Buôn Ma Thuột,Lao động xây dựng,health|techGap|family,employed,12697974,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0347,61,female,primary,single,hành chính|kế toán|văn phòng|salary_range,30,Biên Hòa,Kế toán / Hành chính,techGap,retired,7449592,Biên Hòa,south_east,False,False,100,A
worker_0348,41,other,upper_secondary,widowed,dọn dẹp|giặt là|nấu ăn|salary_range,21,Hải Dương,Giúp việc / Dịch vụ,location|other,unemployed,0,Hải Dương,north,False,False,100,A
worker_0349,38,female,upper_secondary,married,hành chính|kế toán|văn phòng|salary_range,11,TP. Hồ Chí Minh,Kế toán / Hành chính,family|health,retired,8074318,Hồ Chí Minh,south_east,False,False,100,A
worker_0350,38,other,university,divorced,an ninh|bảo vệ|tuần tra|salary_range,10,Bắc Ninh,Bảo vệ,other,employed,7599483,Bắc Ninh,north,False,False,100,A
worker_0351,55,male,primary,married,công trình|xây dựng|xây tô|salary_range,30,Nam Định,Lao động xây dựng,other|family,unemployed,0,Nam Định,north,False,False,100,A
worker_0352,47,male,upper_secondary,widowed,bằng lái|lái xe|vận chuyển|salary_range,17,Vinhy,Lái xe,,retired,3709216,Vinh,north,False,False,100,A
worker_0353,47,other,university,widowed,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,22,Vinhy,Nhân viên bán hàng,health|location|family,retired,12454116,Vinh,north,False,False,100,A
worker_0354,55,other,upper_secondary,single,công trình|xây dựng|xây tô|salary_range,30,Đà Nẵng,Lao động xây dựng,family|location,self-employed,8880892,Đà Nẵng,central,False,False,100,A
worker_0355,57,female,upper_secondary,single,an ninh|bảo vệ|tuần tra|salary_range,28,Bình Dương,Bảo vệ,other|health,self-employed,8483106,Bình Dương,south_east,False,False,100,A
worker_0356,43,female,college,single,hành chính|kế toán|văn phòng|salary_range,21,Vĩnh Phúc,Kế toán / Hành chính,,employed,6786309,Vĩnh Phúc,north,False,False,100,A
worker_0357,37,female,upper_secondary,single,barista|pha chế|đồ uống|salary_range,14,TP. Hồ Chí Minh,Pha chế,location|techGap,retired,14581029,Hồ Chí Minh,south_east,False,False,100,A
worker_0358,57,female,college,divorced,an ninh|bảo vệ|tuần tra|salary_range,27,Buôn Ma Thuột,Bảo vệ,other|family,self-employed,14457536,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0359,35,female,primary,married,lắp ráp|sản xuất|vận hành máy|salary_range,9,Qui Nhơn,Công nhân sản xuất,other|techGap,unemployed,0,Quy Nhơn,central,False,False,100,A
worker_0360,59,other,upper_secondary,widowed,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Nha Trang,Nông dân / Nông nghiệp,,retired,3670528,Nha Trang,central,False,False,100,A
worker_0361,41,female,college,divorced,công trình|xây dựng|xây tô|salary_range,18,Cần Thơ,Lao động xây dựng,location|family,retired,5077602,Cần Thơ,mekong,False,False,100,A
worker_0362,53,female,upper_secondary,single,lắp ráp|sản xuất|vận hành máy|salary_range,27,Hải Phòng,Công nhân sản xuất,techGap|other,employed,7766579,Hải Phòng,north,False,False,100,A
worker_0363,37,other,college,widowed,barista|pha chế|đồ uống|salary_range,16,Nam Định,Pha chế,techGap,self-employed,13671431,Nam Định,north,False,False,100,A
worker_0364,45,female,primary,single,barista|pha chế|đồ uống|salary_range,20,Cần Thơ,Pha chế,other|techGap,self-employed,12572365,Cần Thơ,mekong,False,False,100,A
worker_0365,41,male,upper_secondary,divorced,sửa chữa|tay nghề|thợ|salary_range,17,TP. Hồ Chí Minh,Thợ lành nghề,health,employed,7418601,Hồ Chí Minh,south_east,False,False,100,A
worker_0366,41,other,upper_secondary,married,dọn dẹp|giặt là|nấu ăn|salary_range,12,Vĩnh Phúc,Giúp việc / Dịch vụ,,retired,4996379,Vĩnh Phúc,north,False,False,100,A
worker_0367,53,other,upper_secondary,widowed,barista|pha chế|đồ uống|salary_range,23,Vũng Tàu,Pha chế,health|location|family,self-employed,14936833,Vũng Tàu,south_east,False,False,100,A
worker_0368,39,male,upper_secondary,divorced,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,15,Nam Định,Nhân viên kho vận,location|health,self-employed,13349883,Nam Định,north,False,False,100,A
worker_0369,40,female,upper_secondary,widowed,dọn dẹp|giặt là|nấu ăn|salary_range,17,Vũng Tàu,Giúp việc / Dịch vụ,,retired,5329353,Vũng Tàu,south_east,False,False,100,A
worker_0370,46,other,college,married,công trình|xây dựng|xây tô|salary_range,16,Qui Nhơn,Lao động xây dựng,other,employed,11348277,Quy Nhơn,central,False,False,100,A
worker_0371,57,female,college,married,hành chính|kế toán|văn phòng|salary_range,27,Vinhy,Kế toán / Hành chính,other|family,self-employed,12393399,Vinh,north,False,False,100,A
worker_0372,62,male,primary,widowed,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Hải Phòng,Nông dân / Nông nghiệp,techGap|other|health,unemployed,0,Hải Phòng,north,False,False,100,A
worker_0373,53,other,college,single,bằng lái|lái xe|vận chuyển|salary_range,29,Biên Hòa,Lái xe,health,retired,6437930,Biên Hòa,south_east,False,False,100,A
worker_0374,35,female,upper_secondary,divorced,lắp ráp|sản xuất|vận hành máy|salary_range,13,Thái Nguyên,Công nhân sản xuất,health|location,unemployed,0,Thái Nguyên,north,False,False,100,A
worker_0375,61,female,university,divorced,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Huế,Nhân viên kho vận,health,self-employed,8427181,Huế,central,False,False,100,A
worker_0376,39,female,upper_secondary,married,dọn dẹp|giặt là|nấu ăn|salary_range,12,Hải Dương,Giúp việc / Dịch vụ,family|techGap,self-employed,5647301,Hải Dương,north,False,False,100,A
worker_0377,56,female,upper_secondary,married,hành chính|kế toán|văn phòng|salary_range,30,Vĩnh Phúc,Kế toán / Hành chính,health|other|location,self-employed,7966264,Vĩnh Phúc,north,False,False,100,A
worker_0378,56,male,primary,divorced,bằng lái|lái xe|vận chuyển|salary_range,29,Nha Trang,Lái xe,techGap|health|location,unemployed,0,Nha Trang,central,False,False,100,A
worker_0379,37,female,primary,married,sửa chữa|tay nghề|thợ|salary_range,14,Huế,Thợ lành nghề,health|techGap|family,self-employed,7264083,Huế,central,False,False,100,A
worker_0380,47,other,primary,single,dọn dẹp|giặt là|nấu ăn|salary_range,20,Đà Lạt,Giúp việc / Dịch vụ,other,self-employed,4178839,Đà Lạt,central_highlands,False,False,100,A
worker_0381,48,other,upper_secondary,married,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,21,Buôn Ma Thuột,Nhân viên kho vận,health|other,unemployed,0,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0382,58,other,college,married,hành chính|kế toán|văn phòng|salary_range,30,Bình Dương,Kế toán / Hành chính,other|health,unemployed,0,Bình Dương,south_east,False,False,100,A
worker_0383,46,other,upper_secondary,single,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,16,Buôn Ma Thuột,Nhân viên kho vận,location|other,self-employed,12318664,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0384,60,female,university,married,an ninh|bảo vệ|tuần tra|salary_range,30,Vĩnh Phúc,Bảo vệ,,unemployed,0,Vĩnh Phúc,north,False,False,100,A
worker_0385,49,other,university,divorced,barista|pha chế|đồ uống|salary_range,24,Vinhy,Pha chế,techGap,retired,12030773,Vinh,north,False,False,100,A
worker_0386,53,female,university,married,bằng lái|lái xe|vận chuyển|salary_range,26,TP. Hồ Chí Minh,Lái xe,other|health,unemployed,0,Hồ Chí Minh,south_east,False,False,100,A
worker_0387,41,other,college,widowed,hành chính|kế toán|văn phòng|salary_range,12,Hải Phòng,Kế toán / Hành chính,health|location|other,employed,5851031,Hải Phòng,north,False,False,100,A
worker_0388,63,male,upper_secondary,single,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Huế,Nông dân / Nông nghiệp,family|health|other,employed,6031672,Huế,central,False,False,100,A
worker_0389,42,female,college,divorced,bằng lái|lái xe|vận chuyển|salary_range,12,TP. Hồ Chí Minh,Lái xe,health|other|family,employed,5929406,Hồ Chí Minh,south_east,False,False,100,A
worker_0390,58,male,primary,widowed,hành chính|kế toán|văn phòng|salary_range,29,Hải Phòng,Kế toán / Hành chính,health|techGap|other,unemployed,0,Hải Phòng,north,False,False,100,A
worker_0391,64,male,university,widowed,bằng lái|lái xe|vận chuyển|salary_range,30,Huế,Lái xe,techGap,employed,6316552,Huế,central,False,False,100,A
worker_0392,36,male,upper_secondary,single,sửa chữa|tay nghề|thợ|salary_range,12,Bắc Ninh,Thợ lành nghề,family|health|techGap,self-employed,4755069,Bắc Ninh,north,False,False,100,A
worker_0393,62,male,college,divorced,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Nha Trang,Nhân viên kho vận,health|techGap,retired,8122604,Nha Trang,central,False,False,100,A
worker_0394,64,female,primary,single,dọn dẹp|giặt là|nấu ăn|salary_range,30,Buôn Ma Thuột,Giúp việc / Dịch vụ,family|techGap|location,self-employed,3064414,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0395,53,male,primary,widowed,barista|pha chế|đồ uống|salary_range,30,Nha Trang,Pha chế,other|health,retired,7176241,Nha Trang,central,False,False,100,A
worker_0396,37,male,primary,divorced,lắp ráp|sản xuất|vận hành máy|salary_range,10,Nha Trang,Công nhân sản xuất,,retired,9716060,Nha Trang,central,False,False,100,A
